中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
经营毛利额,,复合指标,T2,零售管理,REM.00.00.043,/,"公司角度商品经营的毛利额
【关注点】
1、【电商】【直营】【配发】经营成本均为不含税商品采购单价 * 经营销量；
2、【电商】【直营】经营销量为按支付时间统计的零售量，【加盟】经营销量为按配发时间统计的净配发量
3、【特殊处理】亚瑟士鞋品的经营成本为不含税商品采购单价 * 经营销量，扣除返点，返点的计算方式是 吊牌价*2%/1.13",经营收入 - 经营成本,,时间,元,零售事业部
经营毛利率,,复合指标,T2,零售管理,REM.00.00.044,/,经营毛利额 / 经营收入,,,时间,%,零售事业部
经营成本,,原子指标,T2,零售管理,REM.00.00.045,/,"不含税商商品采购单价 * 经营销量
【关注点】 1、【特殊处理】亚瑟士鞋品的经营成本为不含税商品采购单价 * 经营销量，扣除返点，返点的计算方式是 吊牌价*2%/1.13",,,时间,元,零售事业部
经营销量,,原子指标,T2,零售管理,REM.00.00.046,/,【电商】按支付时间统计的零售量；【直营】按支付时间统计的零售量；【加盟】按配发时间统计的净配发量,,,时间,件,零售事业部
经营费用,,复合指标,T2,零售管理,REM.00.00.047,/,"经营过程中产生的运营费用、中后台费用及财务费用。
【关注点】：
1、统计月若已结账则为实际费用，统计月若为当前月暂未结账则按预算费率或历史平均费率预估。",运营费用+中后台费用+财务费用,,时间,元,零售事业部
经营费用率,,复合指标,T2,零售管理,REM.00.00.048,/,经营费用 / 经营收入*100%,,,时间,%,零售事业部
经营利润,,复合指标,T2,零售管理,REM.00.00.049,/,公司角度预估的经营利润,经营毛利额 - 经营费用,,时间,元,零售事业部
经营利润率,,复合指标,T2,零售管理,REM.00.00.050,/,经营利润 / 经营收入,,,时间,%,零售事业部
年化平效,,复合指标,T2,零售管理,REM.00.00.051,/,按照算法估计的年度完整平效。新店算法： 预估1 =  {【（当年截至查询结束日期累计零售额 - 首次零售日期前3天零售额）/（首次零售日期到查询结束日期的天数 - 3天）】*（当年度总天数 - 3天）+ 首次零售日期前3天零售额 } / 门店面积 预估2 = （当年截至查询结束日期零售额 / 该门店省份下上一年度首次零售日期到查询结束日期的年度零售额占比 ）/ 门店面积 年化平效 = （预估1+预估2）/ 2  老店及次新店算法： 预估1 = 当年截至查询结束日期累计零售额 / 1月1日到查询结束日期的天数  * 当年度总天数 预估2 = （当年截至查询结束日期零售额 / 该门店省份下 1月1日到查询结束日期的年度零售额占比 ）/ 门店面积 年化平效 = （预估1 +预估2）/ 2,,,时间,元/年平方米,零售事业部
KA零售额,,派生指标,T2,零售管理,REM.00.00.052,/,KA客户标签为KA零售商的零售额,,,时间,元,零售事业部
KA老店零售额,,派生指标,T2,零售管理,REM.00.00.053,/,KA客户标签为KA零售商且门店新老店标签为老店的零售额,,,时间,元,零售事业部
在手门店数,,派生指标,T2,零售管理,REM.00.00.054,统计时间内，针对统计的SKC，库存数量大于零的门店数,统计时间内，针对统计的SKC，库存数量大于零的门店数,无,,"渠道维度：品牌,运营模式,一级渠道,二级渠道,新老店,销售结构,KA客户,一级零售商,二级零售商,门店环数,渠道类型,城市级别,",个,零售事业部
零售总量,,原子指标,T2,零售管理,REM.00.00.055,-,包含门店POS、小程序、本地生活、内容种草、O2O和直播挂链总的实际销售数量,无,,时间,件,零售事业部
新品入库售罄率,,复合指标,T2,零售管理,REM.00.00.056,-,截止统计结束时间，当年新品的入库售罄率，即限定新品下的【累计零售市值/累计采购市值】。,,,时间,%,零售事业部
交叉率,,复合指标,T2,零售管理,|,交叉率是衡量商品在销售周期内，兼顾销售消化效率与价格实现能力的综合盈利效率指标,商品售罄率*零售折扣,,,"品牌,商品,店铺",,浙江森马服饰股份有限公司>经营管理中心>经营管理部
现金回收率,,复合指标,T2,零售管理,||,截至统计结束时间的累计零售额/累计净采购入库额-,累计零售额/累计净采购入库额,,,"品牌,商品,店铺",,浙江森马服饰股份有限公司>经营管理中心>经营管理部
